epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,2069.92,0.62074,0.45541,0.92928,0.91903,0.92695,0.9662,0.87318,0.54227,0.37102,0.88169,0.000926778,0.000926778,0.000926778
73,2100.97,0.64822,0.48393,0.95441,0.91325,0.92455,0.96409,0.87511,0.53377,0.43423,0.89259,0.000919704,0.000919704,0.000919704
74,2131.92,0.60805,0.43964,0.93201,0.94995,0.90861,0.96735,0.8836,0.50885,0.35239,0.86402,0.000912631,0.000912631,0.000912631
75,2166.16,0.61671,0.43768,0.92828,0.90778,0.9474,0.96305,0.86096,0.54923,0.36047,0.87861,0.000905557,0.000905557,0.000905557
76,2194.08,0.66017,0.50802,0.9557,0.95384,0.90004,0.96059,0.87364,0.52436,0.39152,0.87752,0.000898484,0.000898484,0.000898484
77,2225.23,0.62269,0.50717,0.95981,0.87975,0.94247,0.95185,0.87129,0.50358,0.4009,0.86252,0.00089141,0.00089141,0.00089141
78,2253.9,0.60034,0.43581,0.92688,0.91698,0.92751,0.95113,0.86486,0.51182,0.3739,0.86916,0.000884337,0.000884337,0.000884337
79,2280.99,0.61435,0.46618,0.92713,0.9555,0.88653,0.95939,0.87906,0.50429,0.38616,0.86591,0.000877263,0.000877263,0.000877263
80,2309.3,0.61387,0.48821,0.94212,0.95104,0.91371,0.96084,0.8745,0.50291,0.36182,0.85806,0.00087019,0.00087019,0.00087019
81,2337.06,0.63502,0.49511,0.93883,0.95625,0.90361,0.96227,0.87679,0.50415,0.35639,0.85567,0.000863116,0.000863116,0.000863116
82,2365.05,0.6177,0.53335,0.95156,0.93586,0.89923,0.94941,0.87258,0.50994,0.42819,0.86517,0.000856042,0.000856042,0.000856042
83,2394.36,0.63035,0.49095,0.9351,0.93387,0.87605,0.95273,0.87121,0.49097,0.38796,0.86042,0.000848969,0.000848969,0.000848969
84,2427.1,0.60974,0.45692,0.93358,0.89579,0.92108,0.95479,0.87322,0.4895,0.37414,0.86149,0.000841895,0.000841895,0.000841895
85,2457.48,0.61285,0.48957,0.9496,0.88192,0.92287,0.9513,0.86238,0.51647,0.44484,0.8593,0.000834822,0.000834822,0.000834822
86,2491.53,0.58944,0.46386,0.93619,0.90487,0.90089,0.95353,0.8812,0.48846,0.47062,0.86464,0.000827748,0.000827748,0.000827748
87,2520.63,0.58846,0.46256,0.93894,0.96819,0.86342,0.96271,0.88634,0.48395,0.40114,0.8665,0.000820675,0.000820675,0.000820675
88,2547.92,0.57282,0.42943,0.92067,0.92664,0.88465,0.95703,0.87753,0.4784,0.38897,0.84728,0.000813601,0.000813601,0.000813601
89,2575.25,0.61105,0.45465,0.94037,0.91377,0.91825,0.95444,0.87678,0.4877,0.38523,0.85416,0.000806528,0.000806528,0.000806528
